AXE15ME022,MECHANICAL ENGINEERING,MA201,C,AXIS COLLEGE OF ENGINEERING & TECHNOLOGY
AXE15ME022,MECHANICAL ENGINEERING,ME205,F,AXIS COLLEGE OF ENGINEERING & TECHNOLOGY
AXE15ME022,MECHANICAL ENGINEERING,HS200,F,AXIS COLLEGE OF ENGINEERING & TECHNOLOGY
AXE15ME022,MECHANICAL ENGINEERING,HS210,C,AXIS COLLEGE OF ENGINEERING & TECHNOLOGY
AXE15ME022,MECHANICAL ENGINEERING,MA202,F,AXIS COLLEGE OF ENGINEERING & TECHNOLOGY
AXE15ME022,MECHANICAL ENGINEERING,ME201,C,AXIS COLLEGE OF ENGINEERING & TECHNOLOGY
AXE15ME022,MECHANICAL ENGINEERING,ME220,C,AXIS COLLEGE OF ENGINEERING & TECHNOLOGY
AXE15ME022,MECHANICAL ENGINEERING,ME203,C,AXIS COLLEGE OF ENGINEERING & TECHNOLOGY
AXE15ME022,MECHANICAL ENGINEERING,ME202,F,AXIS COLLEGE OF ENGINEERING & TECHNOLOGY
AXE15ME022,MECHANICAL ENGINEERING,ME206,F,AXIS COLLEGE OF ENGINEERING & TECHNOLOGY
AXE15ME023,MECHANICAL ENGINEERING,ME205,F,AXIS COLLEGE OF ENGINEERING & TECHNOLOGY
AXE15ME023,MECHANICAL ENGINEERING,HS200,F,AXIS COLLEGE OF ENGINEERING & TECHNOLOGY
AXE15ME023,MECHANICAL ENGINEERING,ME201,C,AXIS COLLEGE OF ENGINEERING & TECHNOLOGY
AXE15ME023,MECHANICAL ENGINEERING,ME220,C,AXIS COLLEGE OF ENGINEERING & TECHNOLOGY
AXE15ME023,MECHANICAL ENGINEERING,ME203,B,AXIS COLLEGE OF ENGINEERING & TECHNOLOGY
AXE15ME023,MECHANICAL ENGINEERING,ME210,F,AXIS COLLEGE OF ENGINEERING & TECHNOLOGY
AXE15ME023,MECHANICAL ENGINEERING,ME202,F,AXIS COLLEGE OF ENGINEERING & TECHNOLOGY
AXE15ME023,MECHANICAL ENGINEERING,ME206,F,AXIS COLLEGE OF ENGINEERING & TECHNOLOGY
AXE15ME026,MECHANICAL ENGINEERING,MA201,F,AXIS COLLEGE OF ENGINEERING & TECHNOLOGY
AXE15ME026,MECHANICAL ENGINEERING,HS200,F,AXIS COLLEGE OF ENGINEERING & TECHNOLOGY
AXE15ME026,MECHANICAL ENGINEERING,MA202,F,AXIS COLLEGE OF ENGINEERING & TECHNOLOGY
AXE15ME026,MECHANICAL ENGINEERING,ME220,F,AXIS COLLEGE OF ENGINEERING & TECHNOLOGY
AXE15ME026,MECHANICAL ENGINEERING,ME203,B,AXIS COLLEGE OF ENGINEERING & TECHNOLOGY
